,Speccpu_521.wrf_r_clx,Speccpu_548.exchange2_r_clx,Speccpu_502.gcc_r_clx,Speccpu_525.x264_r_clx,Speccpu_519.lbm_r_clx,Speccpu_520.omnetpp_r_clx,Speccpu_527.cam4_r_clx,Speccpu_557.xz_r_clx,Speccpu_544.nab_r_clx,Speccpu_510.parest_t_clx,Speccpu_526.blender_r_clx,Speccpu_531.deepsjeng_r_clx,Speccpu_554.roms_r_clx,Speccpu_507.cactuBSSN_r_clx,Speccpu_549.fotonik3d_r_clx,Speccpu_523.xalancbmk_r.clx,Speccpu_503.bwaves_r_clx,Speccpu_500.perlbench_r_clx,Speccpu_511.povray_r_clx,Speccpu_538.imagick_r_clx,Speccpu_541.leela_r_clx,Speccpu_508.namd_r_clx,Speccpu_505.mcf_r_clx,CSP_BaiduFeed_5117_skx,CSP_PilotCPU_8260,CSP_BS_VIP_V5_5117_skx(unreleased),CSP_PilotGPU_5118,CSP_PredictService_8260_clx,CSP_ParameterServer_8260_clx,CSP_Viking_HNSW_ICX32C,CSP_Alibaba_search_8163,CSP_Sailer_8260_clx,CSP_Alibaba-RTP-freq-25_2682,CSP_PredictService_icx,CSP_AC_5117_skx,CSP_Viking_IVF_8260_CLX,Enterprise_ArgoDB_ICX8360Y,Enterprise_gbase_clx_8280,Enterprise_ArgoDB_CLX6258R,Enterprise_mdb_clx_8280_2TB_remote_client,Enterprise_icx_hisign_2T_memory,Enterprise_mdb_icx_8360_remote_client_dram_2TB,Enterprise_icx_neusoft_ct,Enterprise_gbase_icx_8360_adjust_uncore,Public_Cassandra_clx,Public_Nodejs_clx,Public_MangoDB_80R20W_Broadwell,Public_MangoDB_ReadOnly_Broadwell,Public_Wordpress_clx,Public_BF16_CPX24C,Public_FP32_CPX24C,Public_GraphDB_clx_8260,Public_SAP_TPCH_clx-sf100-1,Public_HammerDB_clx,Public_SPECjbb_clx_48C,Public_Redis_clx
metric_CPU operating frequency (in GHz),2.62175673131952,2.8737779030991,2.99462173319111,2.87920149688243,3.10071316689539,3.09893020883277,2.61065371833007,3.04348566577457,2.9398355407247,2.83561731921474,2.9069441487523,2.94774102808039,2.77911057850248,2.79093865482281,2.71185674779988,2.99950614466087,2.91805263604599,2.85562873260438,2.65140515045964,2.88723011371641,2.9730006439449,2.78807492205123,3.0496029450041,2.40079099107657,2.81333987904541,2.30102173719258,2.68377320639477,2.93276664188174,3.10035189736826,2.89999114001626,2.50138528601278,2.5386163787255,2.49984165649437,2.83933988044687,2.69855107838032,3.08869583812273,2.822915707182098,2.92981203685483,3.047075465207768,3.29954855077296,3.00169172857982,3.09353893665698,3.09172610089481,2.72613603248706,3.19995193621665,3.39970036864373,1.80598082560431,2.0773526282815,3.40304429656789,3.360443700387,3.35066212452267,3.0988273357643,3.19738671092609,3.19782630704404,2.64597377696967,3.40032319976488
metric_CPU utilization %,96.1504623871554,97.3397824854679,97.0073320658255,92.326098635785,98.898090895681,96.8729025751124,95.9703897519871,97.0884165674523,96.2911177583398,96.836398367226,95.8485764362604,96.6680098587341,99.0688729381316,97.1851445265456,99.1767001005333,96.379898763287,98.2866037294632,95.0808015346348,96.6170240447529,97.1511326219367,93.8511414668556,95.7530130853734,96.5167935698345,35.2925551173256,41.3853927206193,21.6150225812096,45.9070705993741,79.2892537055484,61.9182773165586,49.445838892078,17.5983154899162,36.1389768269564,14.770382896568,92.6914530068845,41.0772003060991,22.1563145148751,79.69245264768016,97.74013172135,76.24613865766496,98.5849231977996,100.007983085562,98.6369406938775,98.9862673909814,96.8379812465831,68.1954284882805,46.3019042735816,28.8144996205266,36.0068456732526,40.5781410708914,48.8291536331381,49.4865960152238,72.1137233445769,97.851535618067,42.9797273093203,60.7765052531679,99.3476362956208
metric_CPU utilization% in kernel mode,1.14117235938294,0.185599528623368,4.99120597620853,1.60725841962045,2.31003938770578,0.706845778739459,2.2487115599791,2.06097857527793,0.536507349350541,1.36541767634355,1.10447575696888,1.71732998085213,2.98744770955921,1.1963614792907,2.05603591970005,1.18149671400065,3.117730776284,0.464203320280822,0.273339711871844,0.690153530344099,0.266230628171336,0.473349461603424,1.44784399585832,24.2197621377397,7.84832995282978,2.26625609704081,10.8834093983679,7.30045665898011,20.1685174858002,1.80554962981138,0.856501798691524,7.31376636870934,1.60023309795254,9.3041516985799,7.2729117148707,3.46642129219356,2.733331900336233,0.784859244142248,4.599045768428775,28.6439052208319,0.798894227753201,27.0050476027498,3.89901480585152,0.610964257906278,24.6820140950098,10.013147201002,12.100601650124,14.2531454446286,6.16772359649064,3.60246044194091,0.909980036258792,9.78221677431009,0.65618628732865,3.56647430991713,3.98697417033341,13.2931517215929
metric_CPI,1.60711342603785,0.752257145128764,1.78618863942074,0.602677545086257,5.63239607891357,2.96229762033881,1.06771441882017,1.13181417816583,0.965632317276428,2.82569781389066,1.03049138232949,0.993546423277706,2.87581248938262,1.57115486655224,10.9574852269457,1.35202796815497,8.78971351900179,0.812443832517714,0.747582330759888,0.592928885524514,1.34474242818416,0.667874799905797,4.30113354106481,3.25814482850067,1.22775692779711,1.07672657534408,1.31020905166262,1.3929424138336,1.72887493975668,1.9615118280779,0.668873942601576,1.3240140255708,1.00511043269413,1.24544529189045,1.10965381780825,1.06475022427925,0.7618602627325138,0.801676907776436,0.995598620017288,4.10503002097252,0.766086143775317,2.3660752604708,1.13243318154286,0.701819550920444,1.96834022572861,1.21961451640112,1.85093483792711,1.78160851053104,0.978121526141983,0.713233776651565,0.746745695866136,3.66620612382011,1.6692786336817,1.41927306089661,1.42719138831226,1.09153038583969
metric_kernel_CPI,4.72909241409327,2.47642580948508,2.34471772255248,4.79369043616549,6.94046063398561,3.06561471746837,1.84046515909749,1.71201304357459,2.34343833802425,4.06522485397762,2.14195959603983,1.46977134898015,5.83757880865481,1.97492445572992,4.96541822522861,2.68358913178643,6.76669526891165,2.14309359354122,3.87875335526602,1.95402127052069,2.49598199695445,2.33503268078611,2.91217516652081,8.85616759669993,2.47033004401465,2.5990466280925,2.22753553438558,2.38038483586756,2.50467194310629,2.4152019532974,2.10687875917618,2.62673233991848,2.18376892000735,2.99205811907029,1.59605036067641,2.02172123095431,2.272004377074421,4.87904510633488,3.219403335608981,4.34020963244313,3.27398951175053,2.2435045506825,0.839681833242253,2.76768326127907,3.4425779841436,3.29338127378334,3.3583763353805,3.30656693640118,2.59540570057832,3.2278090711195,10.8649298608899,2.90095334567002,8.16841310743328,3.11140748629397,2.75114336833023,1.0540906892333
metric_EMON event mux reliability% (>95% good),99.9298509317726,99.9218924074734,99.7158535065419,99.5334265167814,99.9776007388927,99.9587733770436,99.4365731590403,99.7003080650585,99.7779340428675,99.930970227371,99.7345139783255,99.9005408623021,99.9998225037735,99.6818396854974,99.976183966298,99.8118041735345,99.9683426289663,99.8816496766466,99.5042167205443,99.6060504139377,99.9464342323006,99.928405282225,99.8635511243022,98.7194607187406,89.8638725841522,98.3459267702682,86.3725454683593,98.2003477015557,99.9564773506241,99.2494991099635,97.271019804795,97.2428990497637,98.9974028821601,99.6770364636491,97.6933478230839,98.8003718459181,99.49361654952025,99.5509563364336,98.99037575475307,99.9597005846918,99.9540786808033,99.9579367229788,99.468456804293,99.213834070372,98.9188107121631,99.6384282900565,99.9234620476119,99.6637921616275,97.0457310477405,87.4648467348288,99.0224487438883,98.9840807489968,99.9733827720157,97.7159097992656,98.416033288319,99.9530495826489
metric_branch mispredict ratio,0.0089638091650812,0.0172908948558616,0.0164906035884985,0.0169910585822655,0.00376718502617132,0.0254569217118616,0.0157052553411153,0.0508029831827752,0.0354500219613311,0.0507840840123344,0.0390083920427693,0.0601939867342018,0.00539677282636542,0.00120774314027074,0.00273792601226595,0.00430656398891983,0.00857389629822961,0.0102303936126819,0.00829093664718664,0.00721294378142267,0.135918155314079,0.0479021507290391,0.101352314414819,0.0124961171276922,0.01620360891772,0.0271871896432316,0.0163045829593139,0.0166103133321156,0.0203114454017873,0.0584109483450757,0.0243439891173407,0.0102370303453107,0.00572859276063851,0.0140916648599858,0.0112913411252203,0.0443445083210361,0.001380311645083511,0.00347550847255436,0.002119215364269757,0.0362579497886212,0.000381707030215251,0.0197432576928447,0.00130970553336869,0.00223624937412386,0.0156670127831883,0.0321122757024215,0.0320722004780204,0.032721636819605,0.0447666172716063,0.0190269430254996,0.00155670721893763,0.0191220143461987,0.0155827249654588,0.0174325847193142,0.0257218105127469,0.00519895826403969
metric_loads per instr,0.370913114884135,0.326480582863523,0.300232646984237,0.224223625696115,0.254306933155805,0.329174087582029,0.284481644479729,0.245992170892559,0.365111729363571,0.5445962312715,0.32241162198203,0.231439349226223,0.51748361539936,0.505921516250143,0.516041683363488,0.356446997824111,0.545398816807521,0.300423149977098,0.390191204044856,0.304092430816253,0.28692294916572,0.306859234419162,0.32344467320587,0.298755253426005,0.253218201263866,0.27383877447576,0.254516406956209,0.277047263410284,0.275448085226468,0.310640768853862,0.312100880694966,0.32387655908869,0.289190052661173,0.277530658282476,0.32352582066462,0.299218056115772,0.2961837475073953,0.269913853400048,0.2871926359353223,0.317339440219999,0.305118544593913,0.316623702428552,0.2563274994627,0.271359698996424,0.260702946341187,0.292584737269018,0.285014488926486,,0.32902161974528,0.299413758560468,0.270731521907101,0.288940950919754,0.300081298107209,0.253835272475965,0.301793140355367,0.275456948173646
metric_stores per instr,0.0942328292330027,0.184442162300347,0.131999838207659,0.0819974277631564,0.137886899822268,0.176219045369513,0.0974935544011987,0.0533182275650077,0.0855100322971455,0.0266396134028916,0.0445984815087126,0.100711365678903,0.0930910881970039,0.106978668528749,0.124420172550304,0.056111031969388,0.0803920761803388,0.17865154062692,0.137131783477904,0.0828599598416618,0.0837083049328153,0.0720127964807162,0.118067256713394,0.174399807773655,0.111154654041677,0.162499650911441,0.135527052157796,0.150998510039412,0.159132768182478,0.120888087302852,0.144421596736003,0.0581202727857527,0.188276391140121,0.152382883254132,0.206359155979931,0.115283506270912,0.1249054244976476,0.13448558348184,0.1201914596890539,0.180838515812215,0.0756328450653908,0.179670787016758,0.0348018457247949,0.134856821798034,0.108754391455161,0.138583414473433,0.151770769191652,,0.153648962386191,0.0597970123492117,0.0394182316267581,0.176008778499387,0.121767119772403,0.146428750654473,0.120962522816036,0.132049217033933
metric_locks retired per instr,3.53221939485415e-06,1.8473517580148e-06,0.000193597705559786,4.18880966668083e-06,8.13549157626898e-06,1.22738231240203e-05,1.14495858068805e-05,4.3559377210996e-06,2.57222237725122e-06,3.8119407109748e-05,8.97566980959711e-06,1.58766052247699e-06,6.41912599019052e-06,6.60243806135541e-06,7.1106835667025e-05,6.26063116865445e-05,2.66229175002003e-05,4.00505263326696e-06,9.20637751739958e-07,1.69931568116062e-06,7.89449761326204e-06,2.01271413203e-06,2.41981563819985e-05,0.00341018501412659,0.000899404662616175,0.000408973423356056,0.00143905159103611,0.000743204756485986,0.00210201515561528,0.000189625124346852,0.00101886990432324,0.000471076925178469,0.00081689242777434,0.00072496940829578,0.000677147582709972,0.000509035773503088,6.055256967383601e-05,4.41256953433045e-06,0.0001016922829968729,0.00156790155478341,1.27392210891833e-05,0.00149983461200509,0.000259856263867075,3.88600075041217e-06,0.00140264076431841,0.000610553193315694,0.0019736193180708,,0.000188468869986955,3.8656276308241e-05,1.84099099697171e-05,0.00289296187950461,2.66980271088808e-05,0.000629710425607587,0.00127750335078059,0.00198130168259077
